소재지면적,대피가능인원수,소재지전체주소,좌표정보(X),좌표정보(Y),id
6871,8328,서울특별시 용산구 후암동 458번지,197832.0638,449895.7596,0
660,800,서울특별시 용산구 보광동 217번지 32호,199939.7208,447113.8842,0
2056,2492,서울특별시 용산구 한남동 657번지 58호,200310.9799,447939.995,0
2294,2781,서울특별시 용산구 이태원동 690번지,198760.5872,448414.0986,0
14931,18098,서울특별시 용산구 효창동 274번지,196236.8935,448652.6035,0
165,200,서울특별시 용산구 이촌동 301번지 82호,197565.2504,446559.1365,0
26549,32181,서울특별시 용산구 한강로3가 40번지 999호,196762.0774,447480.0396,0
14378,17428,서울특별시 용산구 문배동 24번지 21호,197150.8342,448278.5989,0
3087,3742,서울특별시 용산구 보광동 151번지,200006.1886,446894.7498,0
363,440,서울특별시 용산구 이태원동 255번지 54호,199062.1457,448853.0228,0
4237,5136,서울특별시 용산구 이촌동 422번지,195846.0524,447230.7848,0
98320,119176,서울특별시 용산구 용산동5가 24번지,197338.9151,446893.4844,0
19800,24000,서울특별시 용산구 이촌동 430번지,197376.1163,446413.23,0
1172,1421,서울특별시 용산구 도원동 4번지 5호,196179.6627,448523.6821,0
22440,27200,서울특별시 용산구 청암동 181번지,195266.3624,448085.6595,0
10794,13084,서울특별시 용산구 한남동 726번지 494호,200093.0167,448727.8989,0
3223,3907,서울특별시 용산구 한남동 747번지 7호,199737.0974,448587.7533,0
12934,15678,서울특별시 용산구 한강로3가 63번지 389호,197202.8463,446986.4116,0
21057,25524,서울특별시 용산구 용산동1가 8번지,197907.622,448229.9556,0
22859,27708,서울특별시 용산구 용산동2가 5번지 236호,198870.0545,449208.7901,0
4043,4901,서울특별시 용산구 갈월동 70번지 9호,197411.6549,449487.3912,0
12266,14868,서울특별시 용산구 용산동4가 4번지,198650.8917,448021.9276,0
6676,8092,서울특별시 용산구 효창동 80번지,196482.0924,448597.2476,0
693,840,서울특별시 용산구 서계동 224번지 32호,197160.9178,450168.3236,0
1815,2200,서울특별시 용산구 갈월동 51번지 19호,197705.4678,449280.6993,0
7894,9568,서울특별시 용산구 갈월동 2번지 5호,197484.4568,449711.5396,0
24693,29931,서울특별시 용산구 한강로3가 63번지 387호,197268.1324,447102.6162,0
6699,8120,서울특별시 용산구 갈월동 16번지 7호,197450.6139,449256.4596,0
7828,9488,서울특별시 용산구 용산동5가 17번지 112호,197753.7554,446635.384,0
8778,10640,서울특별시 용산구 한강로2가 191번지,197099.3815,447328.5488,0
4092,4960,서울특별시 용산구 청파동2가 91번지 1호,197268.0478,449245.9402,0
9564,11593,서울특별시 용산구 동자동 14번지 151호,197527.0004,450094.2364,0
5544,6720,서울특별시 성동구 응봉동 193번지,202939.2126,449850.5556,0
60297.18,73087,서울특별시 성동구 상왕십리동 811번지,202113.8696,451897.5819,0
